data;

# P1:	B£ONIE		P2: KSI¥¯ENICE		P3: GÓRA KALWARIA	P4: OTWOCK		P5: WO£OMIN		P6: LEGIONOWO
# M1:	PRUSZKÓW 	M2:	PIASECZNO 		M3:	ZIELONKA
# S1:	BIA£. WSCH.	S2: BIA£. ZACH.		S3: BRÓDNO			S4: TARGÓWEK	S5: GOC£AW		S6: NOWE W£OCHY		S7: W£OCHY		S8: ŒRÓDM.		S9: MOKOTÓW		S10: SOLEC

set PRODUCENCI 	:= P1 P2 P3 P4 P5 P6 ;
set MAGAZYNY 	:= M1 M2 M3 ;
set WARZYWA	 	:= Ziemniaki Kapusta Buraki Marchew ;
set SKLEPY	   	:= S1 S2 S3 S4 S5 S6 S7 S8 S9 S10 ;

param koszt_tona_km := 4 ;

param t := 52 ;

param max_roczna_prod:
		Ziemniaki	Kapusta	Buraki	Marchew :=
	P1  120    	 	80    	120		60
	P2  50    		90    	160		50
	P3  160    		70    	190		90
	P4  230    		50    	30		110
	P5  220    		230    	180		100
	P6  370    		150    	50		90
;

param max_pojemnosc_mag :=
	M1	800
	M2	1200
	M3	750
;

param max_pojemnosc_sklep :=
	S1	8.42
	S2	7.92
	S3	8.5
	S4	8.3
	S5	10.36
	S6	8.18
	S7	8.63
	S8	8.98
	S9	8.5
	S10	9.04
;

param odleglosc_mag_prod:
		P1		P2		P3		P4		P5		P6	:=
   M1   13.7	13.0	35.1	31.4	34.8	27.8
   M2   30.9	22.5	17.6	16.2	32.3	18.3
   M3   38.9	40.4	36.6	23.3	6.7		18.1
;
   
param odleglosc_mag_sklep:
		S1		S2		S3		S4		S5		S6		S7		S8		S9		S10 :=
	16	1.32    1.33    1.34    1.29    1.36    1.21    1.36    1.43    1.35    1.13
	17	1.55    1.48    1.55    1.47    1.46    1.37    1.6     1.54    1.57    1.39
	18	1.53    1.47    1.44    1.44    1.54    1.61    1.45    1.49    1.55    1.49
	19	1.48    1.46    1.38    1.51    1.48    1.54    1.5     1.51    1.41    1.43
	20	1.52    1.5     1.58    1.46    1.53    1.52    1.6     1.29    1.4     1.29
	21	1.31    1.52    1.64    1.42    1.68    1.49    1.54    1.47    1.36    1.56
	22	1.45    1.51    1.32    1.25    1.32    1.47    1.1     1.15    1.23    1.5
	23	1.14    1.28    1.29    1.35    1.47    1.25    1.29    1.39    1.42    1.27
	24	1.25    1.3     1.12    1.27    1.38    1.37    1.22    1.26    1.13    1.33
	25	1.31    1.25    1.13    1.21    1.25    1.2     1.47    1.36    1.33    1.3
	26	1.12    1.06    0.92    0.84    1.02    0.98    1.01    0.98    0.82    0.95
	27	0.96    1.13    1.13    1.13    1.13    0.93    1.02    1.0     0.92    1.23
	28	1.06    0.88    1.0     0.91    0.86    1.05    1.19    0.96    0.91    1.03
	29	1.12    0.97    0.88    1.01    1.03    1.11    1.06    1.21    0.95    0.95
	30	0.87    1.12    0.83    0.95    0.95    1.03    0.99    0.95    1.04    0.93
	31	0.84    1.01    1.02    1.09    0.99    1.05    1.0     1.09    0.93    0.93
	32	0.92    1.03    1.18    0.89    1.02    1.16    0.84    1.05    0.89    1.12
	33	0.76    0.78    0.87    0.7     0.94    0.79    0.87    0.81    0.81    0.84
	34	0.73    0.9     0.85    0.72    0.8     0.86    0.85    0.65    0.85    0.75
	35	0.71    0.72    0.55    0.72    0.77    0.62    0.69    0.74    0.78    0.86
	36	0.83    0.79    0.67    0.81    0.86    0.84    0.82    0.93    0.87    0.8
	37	0.8     0.88    0.67    0.89    0.58    0.76    0.77    0.74    0.77    0.78
	38	0.64    0.8     0.57    0.61    0.77    0.58    0.6     0.59    0.72    0.64
	39	0.64    0.7     0.71    0.47    0.79    0.58    0.59    0.59    0.47    0.65
	40	0.76    0.65    0.51    0.59    0.58    0.5     0.6     0.57    0.67    0.52
	41	0.68    0.65    0.51    0.56    0.54    0.68    0.87    0.54    0.61    0.66
	42	0.75    0.54    0.91    0.88    0.81    0.72    0.79    0.91    0.66    0.78
	43	0.93    0.72    0.79    0.74    0.79    1.03    0.81    0.76    0.68    0.91
	44	0.67    0.8     0.9     0.87    0.79    0.97    1.03    0.91    1.05    0.8
	45	0.99    1.1     1.09    1.07    1.04    0.93    1.05    1.0     0.73    1.03
	46	1.0     1.16    0.83    1.08    1.06    0.92    1.06    0.95    1.15    1.02
	47	0.98    0.97    1.07    1.09    1.12    0.73    1.33    1.08    1.02    0.86
	48	1.04    0.85    1.17    0.98    0.98    1.17    0.98    1.06    0.96    1.04
	49	0.93    0.73    0.66    0.54    0.66    0.83    0.69    0.87    0.87    0.75
	50	0.55    0.6     0.53    0.76    0.56    0.76    0.56    0.78    0.8     0.72
	51	0.7     0.72    0.59    0.77    0.62    0.55    0.71    0.72    0.62    0.66
	52	0.54    0.45    0.45    0.5     0.46    0.65    0.35    0.31    0.36    0.52

	[Kapusta, *, *](tr):
		S1		S2		S3		S4		S5		S6		S7		S8		S9		S10 :=
	1	0.31    0.23    0.33    0.11    0.19    0.15    0.21    0.14    0.37    0.06
	2	0.15    0.18    0.07    0.1     0.12    0.27    0.21    0.2     0.3     0.17
	3	0.02    0.09    0.04    0.27    0.01    0.19    0.28    0.1     0.2     0.16
	4	0.2     0.12    0.32    0.1     0.13    0.14    0.25    0.15    0.02    0.05
	5	0.37    0.37    0.19    0.29    0.13    0.27    0.29    0.23    0.32    0.03
	6	0.15    0.24    0.39    0.04    0.09    0.29    0.26    0.26    0.12    0.43
	7	0.37    0.07    0.2     0.19    0.03    0.33    0.27    0.01    0.29    0.13
	8	0.52    0.44    0.38    0.54    0.34    0.24    0.43    0.59    0.41    0.37
	9	0.5     0.47    0.4     0.52    0.5     0.3     0.45    0.23    0.54    0.51
	10	0.47    0.35    0.42    0.45    0.49    0.32    0.46    0.53    0.43    0.35
	11	0.47    0.67    0.61    0.69    0.55    0.34    0.47    0.44    0.52    0.7
	12	0.56    0.5     0.75    0.68    0.5     0.66    0.66    0.53    0.6     0.6
	13	0.57    0.73    0.78    0.62    0.62    0.6     0.7     0.55    0.52    0.61
	14	0.66    0.57    0.46    0.69    0.46    0.73    0.57    0.57    0.78    0.53
	15	1.14    1.03    1.09    0.99    1.01    1.03    1.11    1.04    1.1     0.81
	16	0.97    1.02    1.31    0.91    0.9     1.04    1.02    0.79    1.05    0.81
	17	1.16    1.26    0.97    0.82    1.05    1.03    1.12    1.05    0.97    1.26
	18	0.88    1.1     0.9     1.04    0.76    0.95    0.93    0.95    0.95    1.09
	19	1.11    1.0     0.98    1.03    1.12    1.04    1.13    0.96    1.07    1.1
	20	0.86    0.92    1.05    0.93    0.95    0.88    0.97    0.93    1.12    0.95
	21	0.96    0.94    0.88    0.75    1.0     0.94    1.24    1.0     1.04    1.0
	22	0.96    1.08    1.06    1.04    1.01    0.99    1.01    1.01    1.08    1.04
	23	0.96    0.99    1.05    1.0     0.98    1.01    1.05    1.02    1.02    0.96
	24	0.92    0.92    1.0     0.97    1.03    1.02    1.02    0.98    0.95    1.04
	25	0.89    0.97    0.81    0.71    0.83    1.05    0.83    0.78    0.71    0.77
	26	0.82    0.7     0.71    0.75    0.72    0.78    0.76    0.62    0.71    0.94
	27	0.86    0.82    0.9     0.82    0.78    0.64    0.91    0.76    0.71    0.69
	28	0.44    0.52    0.54    0.67    0.49    0.67    0.63    0.82    0.67    0.76
	29	0.73    0.65    0.47    0.59    0.59    0.7     0.6     0.49    0.63    0.64
	30	0.57    0.56    0.68    0.56    0.63    0.72    0.46    0.72    0.67    0.59
	31	0.58    0.63    0.51    0.68    0.38    0.72    0.68    0.66    0.61    0.82
	32	0.52    0.41    0.23    0.45    0.41    0.36    0.29    0.36    0.21    0.52
	33	0.6     0.36    0.44    0.43    0.32    0.47    0.32    0.42    0.43    0.25
	34	0.42    0.48    0.32    0.36    0.16    0.34    0.26    0.54    0.34    0.45
	35	0.11    0.24    0.11    0.17    0.13    0.15    0.15    0.22    0.37    0.48
	36	0.12    0.03    0.17    0.18    0.29    0.26    0.27    0.18    0.22    0.25
	37	0.26    0.31    0.37    0.29    0.2     0.33    0.16    0.26    0.13    0.35
	38	0.19    0.32    0.17    0.14    0.26    0.13    0.13    0.26    0.29    0.2
	39	0.3     0.18    0.27    0.33    0.09    0.22    0.18    0.23    0.15    0.09
	40	0.22    0.44    0.43    0.5     0.48    0.41    0.51    0.43    0.34    0.29
	41	0.23    0.54    0.52    0.48    0.5     0.52    0.56    0.57    0.53    0.36
	42	0.52    0.45    0.41    0.44    0.44    0.36    0.64    0.61    0.47    0.53
	43	0.52    0.49    0.42    0.4     0.46    0.55    0.45    0.48    0.57    0.51
	44	0.55    0.65    0.8     1.04    0.79    0.47    0.72    0.64    0.82    0.65
	45	0.65    0.76    0.79    0.61    0.76    0.68    0.6     0.53    0.64    0.69
	46	0.67    0.73    0.72    0.53    0.79    0.67    0.59    0.74    0.85    0.6
	47	0.58    0.61    0.71    0.69    0.55    0.75    0.65    0.76    0.71    0.73
	48	0.91    1.02    1.08    0.94    0.77    1.05    0.96    1.05    0.97    1.11
	49	1.02    0.97    0.96    1.14    1.04    0.95    1.1     0.96    0.93    1.05
	50	1.1     1.02    1.06    1.12    1.07    1.02    1.06    1.03    1.12    0.97
	51	0.79    0.83    0.75    0.66    0.72    0.59    0.78    0.65    0.59    0.87
	52	0.52    0.73    0.54    0.64    0.66    0.5     0.6     0.56    0.56    0.6

	[Buraki, *, *](tr):
		S1		S2		S3		S4		S5		S6		S7		S8		S9		S10 :=
	1	1.17 	1.29 	1.47 	1.09 	1.02 	1.19 	0.77 	1.44 	1.1  	1.1
 	2	0.87 	1.07 	1.65 	1.0   	1.2  	0.96 	1.56 	0.98 	0.81 	1.17
 	3	1.27 	1.31 	1.35 	1.11 	1.3  	0.94 	1.26 	1.16 	1.08 	1.09
 	4	1.22 	1.19 	1.03 	1.22 	1.0   	1.41 	1.17 	1.54 	1.26 	1.41
 	5	1.01 	1.37 	1.06 	1.02 	1.06 	1.47 	0.93 	0.97 	1.29 	1.2 
 	6	1.27 	1.4  	1.11 	0.81 	1.2  	0.94 	1.22 	1.19 	1.28 	1.29
 	7	1.37 	1.23 	1.09 	1.32 	0.85 	0.97 	0.9  	1.06 	1.32 	1.01
 	8	1.29 	1.38 	1.13 	1.13 	1.12 	1.08 	1.05 	1.15 	1.39 	1.34
 	9	1.22 	0.89 	1.25 	1.23 	1.37 	1.12 	1.42 	1.09 	1.18 	1.04
 	10	1.06 	1.14 	1.26 	1.04 	1.77 	0.9  	1.23 	1.48 	0.85 	1.01
	11	0.73 	0.81 	0.8  	0.9  	0.75 	0.76 	0.81 	0.88 	0.92 	0.67
	12 	0.96 	0.78 	0.76 	0.82 	0.85 	0.74 	0.81 	0.83 	0.7  	0.69
	13 	0.91	0.65 	0.92 	0.79 	0.72 	0.75 	0.7  	0.82 	0.79 	0.75
	14 	0.61 	0.54 	0.34 	0.56 	0.46 	0.42 	0.44 	0.52 	0.47 	0.55
	15	0.44 	0.48 	0.28 	0.53 	0.62 	0.37 	0.42 	0.34 	0.78 	0.6 
	16 	0.86 	0.4  	0.49 	0.46 	0.48 	0.47 	0.63 	0.31 	0.59 	0.46
	17	0.39 	0.16 	0.21 	0.43 	0.19 	0.39 	0.51 	0.2  	0.27 	0.26
	18	0.22	0.31 	0.25 	0.31 	0.37 	0.27 	0.18 	0.31 	0.41 	0.36
	19 	0.08 	0.15 	0.38 	0.27 	0.32 	0.14 	0.31 	0.43 	0.51 	0.16
	20 	0.3  	0.39 	0.35 	0.46 	0.29 	0.3  	0.45 	0.25 	0.38 	0.32
	21 	0.35 	0.36 	0.19 	0.23 	0.23 	0.32 	0.26 	0.23 	0.22 	0.22
	22 	0.54 	0.22 	0.22 	0.42 	0.28 	0.32 	0.3  	0.3  	0.06 	0.34
	23	0.55    0.62    0.67    0.58    0.6     0.38    0.65    0.8     0.6     0.57
	24	0.51    0.49    0.52    0.74    0.7     0.76    0.6     0.54    0.32    0.74
	25	0.48    0.44    0.66    0.77    0.53    0.68    0.68    0.68    0.71    0.7
	26	1.02    0.73    0.98    0.84    1.05    1.1     0.95    1.1     1.15    1.26
	27	0.9     0.9     1.03    1.04    1.09    1.1     0.99    1.06    1.05    0.97
	28	1.07    0.86    1.0     0.77    1.05    0.94    0.86    0.97    0.87    1.07
	29	0.9     1.14    0.91    1.13    1.17    1.09    1.12    0.91    1.02    1.2
	30	0.91    1.04    1.1     0.9     0.89    1.04    1.13    0.93    0.97    1.16
	31	1.11    1.04    0.93    1.01    1.17    0.93    1.0     0.85    1.09    0.91
	32	1.01    0.86    0.84    1.12    1.07    1.13    1.02    1.08    1.15    1.02
	33	0.95    1.06    1.04    0.97    1.01    1.12    0.98    0.89    0.85    1.1
	34	1.04    0.87    1.1     0.92    1.04    0.99    1.19    0.8     1.11    0.88
	35	0.98    0.89    1.05    1.09    1.09    0.95    1.03    0.91    0.98    1.07
	36	0.8     0.82    0.88    1.03    0.94    0.75    0.76    0.79    0.96    0.91
	37	0.67    0.86    0.61    0.82    0.61    0.91    0.68    0.8     0.92    0.76
	38	0.64    0.58    0.62    0.49    0.47    0.62    0.48    0.6     0.56    0.55
	39	0.7     0.61    0.59    0.63    0.61    0.58    0.76    0.57    0.49    0.64
	40	0.51    0.47    0.24    0.42    0.37    0.36    0.47    0.22    0.43    0.5
	41	0.35    0.45    0.33    0.56    0.33    0.25    0.28    0.28    0.4     0.51
	42	0.54    0.29    0.48    0.54    0.52    0.23    0.31    0.41    0.55    0.46
	43	0.12    0.24    0.25    0.4     0.17    0.22    0.42    0.18    0.12    0.36
	44	0.33    0.21    0.11    0.15    0.07    0.23    0.19    0.2     0.18    0.29
	45	0.2     0.21    0.27    0.26    0.19    0.17    0.43    0.26    0.0     0.22
	46	0.41    0.32    0.01    0.21    0.25    0.13    0.22    0.09    0.23    0.44
	47	0.14    0.11    0.17    0.21    0.14    0.06    0.18    0.28    0.1     0.08
	48	0.12    0.17    0.01    0.13    0.14    0.03    0.16    0.13    0.1     0.02
	49	0.37    0.63    0.47    0.38    0.5     0.65    0.42    0.4     0.46    0.56
	50	0.36    0.36    0.54    0.55    0.38    0.4     0.51    0.52    0.43    0.49
	51	0.47    0.28    0.48    0.46    0.48    0.38    0.54    0.45    0.41    0.4
	52 	0.6     0.51    0.55    0.55    0.48    0.47    0.56    0.74    0.54    0.64

	[Marchew, *, *](tr):
		S1		S2		S3		S4		S5		S6		S7		S8		S9		S10 :=
	1	1.07    0.86    0.91    1.06    1.06    0.83    1.14    0.94    0.99    0.79
	2	1.28    0.92    0.87    1.07    0.93    1.05    0.74    1.11    1.02    0.98
	3	1.37    1.27    1.32    1.21    1.48    1.37    1.49    1.27    1.45    1.4
	4	1.51    1.54    1.4     1.31    1.41    1.24    1.37    1.51    1.49    1.31
	5	1.15    1.36    1.31    1.4     1.32    1.61    1.43    1.35    1.41    1.38
	6	1.44    1.36    1.48    1.26    1.38    1.32    1.46    1.46    1.34    1.38
	7	1.54    1.71    1.55    1.53    1.68    1.69    1.56    1.65    1.68    1.55
	8	1.64    1.48    1.66    1.69    1.67    1.57    1.55    1.57    1.56    1.92
	9	1.43    1.61    1.63    1.67    1.72    1.55    1.55    1.56    1.72    1.56
	10	1.69    1.49    1.64    1.82    1.75    1.47    1.66    1.49    1.67    1.71
	11	1.25    1.35    1.4     1.32    1.46    1.43    1.12    1.33    1.13    1.38
	12	1.22    1.32    1.24    1.24    1.43    1.22    1.34    1.21    1.13    1.49
	13	1.35    1.41    1.37    1.39    1.3     1.42    1.31    1.24    1.2     1.35
	14	1.11    1.29    1.37    1.29    1.37    1.39    1.32    1.16    1.05    1.28
	15	0.75    0.95    0.93    0.83    0.95    0.98    0.83    0.96    0.78    0.82
	16	0.85    0.91    1.11    0.67    0.88    0.96    1.13    1.07    0.7     0.78
	17	1.11    0.87    1.11    0.96    0.8     0.89    0.78    0.92    0.76    0.98
	18	0.53    0.64    0.53    0.78    0.62    0.77    0.56    0.71    0.44    0.54
	19	0.8     0.61    0.61    0.65    0.67    0.73    0.57    0.66    0.64    0.71
	20	0.63    0.66    0.56    0.64    0.69    0.9     0.74    0.64    0.69    0.78
	21	0.68    0.63    0.59    0.64    0.57    0.69    0.59    0.44    0.7     0.7
	22	0.44    0.5     0.55    0.62    0.37    0.43    0.35    0.47    0.51    0.51
	23	0.33    0.24    0.29    0.41    0.45    0.31    0.26    0.54    0.41    0.49
	24	0.54    0.38    0.24    0.4     0.37    0.43    0.54    0.31    0.46    0.34
	25	0.61    0.68    0.57    0.56    0.78    0.6     0.52    0.67    0.63    0.53
	26	0.71    0.49    0.5     0.55    0.52    0.6     0.48    0.53    0.74    0.64
	27	0.56    0.45    0.7     0.6     0.59    0.62    0.61    0.57    0.43    0.75
	28	0.65    0.73    0.62    0.82    0.42    0.75    0.68    0.61    0.56    0.83
	29	0.97    1.1     1.0     0.91    0.66    0.98    0.82    0.88    1.03    0.79
	30	1.02    0.97    0.77    0.94    1.13    0.95    0.86    0.89    1.03    1.02
	31	1.06    0.88    0.91    1.13    1.18    0.88    0.95    0.9     0.88    0.83
	32	1.01    1.1     1.0     1.21    1.07    1.02    0.98    1.19    1.14    1.26
	33	0.97    1.1     1.34    1.16    1.14    1.04    1.13    0.94    1.13    1.13
	34	1.12    1.06    1.1     1.2     1.07    1.11    1.0     1.08    1.03    1.2
	35	1.36    1.24    1.21    1.29    1.38    1.31    1.22    1.27    1.23    1.27
	36	1.24    1.27    1.39    1.26    1.21    1.26    1.38    1.3     1.21    1.49
	37	1.25    1.29    1.27    1.07    1.24    1.39    1.41    1.29    1.24    1.29
	38	1.34    1.53    1.07    1.36    1.32    1.19    1.29    1.4     1.29    1.16
	39	0.95    0.83    1.04    0.83    0.65    0.97    0.94    0.95    0.97    0.73
	40	0.7     1.08    0.95    0.85    0.99    0.89    0.82    0.92    1.12    0.87
	41	0.88    0.99    1.0     0.92    0.99    0.87    0.96    0.89    0.89    1.01
	42	0.68    0.66    0.75    0.76    0.74    0.57    0.68    0.74     0.73    0.56
	43	0.64    0.53    0.77    0.75    0.73    0.74    0.71    0.74    0.59    0.65
	44	0.59    0.59    0.68    0.62    0.73    0.57    0.66    0.57    0.58    0.77
	45	0.25    0.37    0.32    0.26    0.49    0.39    0.43    0.44    0.44    0.51
	46	0.37    0.44    0.34    0.34    0.46    0.37    0.42    0.36    0.4     0.41
	47	0.22    0.42    0.63    0.33    0.51    0.23    0.32    0.38    0.38    0.25
	48	0.63    0.54    0.65    0.53    0.73    0.62    0.56    0.86    0.45    0.77
	49	0.75    0.65    0.66    0.76    0.53    0.54    0.51    0.64    0.62    0.82
	50	0.84    0.97    0.79    0.88    0.86    0.87    0.84    0.83    0.71    0.72
	51	0.82    0.86    0.84    1.01    0.89    0.75    0.72    1.03    0.97    0.78
	52	0.7     0.93    0.87    0.66    0.77    0.72    1.01    0.76    0.74    0.82
;
